question_id,p_at_1,p_at_5,mrr,map
1894,1.000,0.400,1.000,0.538
1895,0.000,0.400,0.500,0.583
1896,1.000,0.400,1.000,0.833
1897,0.000,0.200,0.250,0.250
1898,1.000,0.400,1.000,0.633
1899,1.000,1.000,1.000,1.000
1900,1.000,1.000,1.000,0.966
1903,1.000,0.400,1.000,0.718
1904,0.000,0.200,0.500,0.375
1906,0.000,0.200,0.200,0.200
1908,0.000,0.200,0.250,0.364
1909,0.000,0.400,0.333,0.356
1910,1.000,1.000,1.000,0.910
1911,0.000,0.400,0.500,0.450
1912,1.000,0.800,1.000,0.787
1914,1.000,0.800,1.000,0.882
1916,0.000,0.600,0.500,0.589
1918,0.000,0.200,0.250,0.250
1919,0.000,0.000,0.000,0.000
1920,1.000,0.600,1.000,1.000
1921,0.000,0.200,0.333,0.333
1922,0.000,0.000,0.000,0.000
1924,0.000,0.000,0.000,0.000
1925,0.000,0.000,0.167,0.183
1926,0.000,0.200,0.250,0.250
1927,1.000,0.400,1.000,0.639
1928,0.000,0.200,0.500,0.421
1929,0.000,0.200,0.333,0.333
1930,1.000,0.800,1.000,0.869
1931,0.000,0.000,0.143,0.143
1932,1.000,0.400,1.000,0.833
1934,0.000,0.200,0.250,0.250
1935,0.000,0.400,0.500,0.450
1936,1.000,0.400,1.000,0.778
1937,0.000,0.000,0.000,0.000
1938,0.000,0.200,0.200,0.200
1939,0.000,0.400,0.500,0.500
1941,0.000,0.200,0.250,0.292
1942,1.000,0.600,1.000,0.817
1943,0.000,0.600,0.500,0.593
1944,1.000,0.200,1.000,0.583
1945,1.000,1.000,1.000,1.000
1946,0.000,0.200,0.250,0.316
1947,1.000,1.000,1.000,0.958
1948,0.000,0.000,0.000,0.000
1949,0.000,0.200,0.500,0.332
1950,1.000,0.800,1.000,0.804
1951,0.000,0.000,0.000,0.000
1952,0.000,0.000,0.000,0.000
1953,0.000,0.400,0.333,0.335
1954,0.000,0.200,0.200,0.200
1956,1.000,0.600,1.000,0.733
1958,1.000,1.000,1.000,1.000
1959,0.000,0.000,0.143,0.143
1960,0.000,0.000,0.000,0.000
1961,0.000,0.400,0.500,0.556
1962,0.000,0.200,0.333,0.238
1965,0.000,0.000,0.000,0.000
1966,0.000,0.000,0.000,0.000
1967,1.000,0.600,1.000,0.772
1968,0.000,0.200,0.200,0.211
1969,0.000,0.400,0.250,0.435
1970,0.000,0.600,0.500,0.483
1971,0.000,0.000,0.167,0.242
1973,0.000,0.000,0.167,0.167
1974,1.000,0.800,1.000,0.967
1975,0.000,0.200,0.333,0.333
1976,0.000,0.600,0.500,0.589
1977,0.000,0.000,0.000,0.000
1978,0.000,0.000,0.000,0.000
1979,0.000,0.000,0.000,0.000
1980,0.000,0.600,0.500,0.645
1981,1.000,0.800,1.000,1.000
1982,0.000,0.000,0.111,0.111
1983,0.000,0.600,0.500,0.604
1984,1.000,0.600,1.000,0.839
1985,0.000,0.600,0.500,0.646
1986,0.000,0.200,0.200,0.352
1989,0.000,0.000,0.000,0.000
1990,0.000,0.000,0.000,0.000
1991,0.000,0.000,0.000,0.000
1992,0.000,0.200,0.200,0.200
1993,1.000,1.000,1.000,1.000
1994,0.000,0.200,0.500,0.500
1995,0.000,0.000,0.143,0.143
1996,1.000,0.800,1.000,0.909
1997,1.000,0.400,1.000,1.000
1998,0.000,0.400,0.333,0.387
1999,0.000,0.000,0.000,0.000
2000,1.000,0.400,1.000,0.685
2001,1.000,0.600,1.000,0.917
2003,0.000,0.000,0.111,0.156
2004,1.000,1.000,1.000,1.000
2005,1.000,0.600,1.000,0.759
2007,1.000,0.600,1.000,0.844
2009,0.000,0.200,0.200,0.200
2010,1.000,1.000,1.000,0.910
2011,0.000,0.400,0.500,0.450
2012,0.000,0.000,0.143,0.143
2013,1.000,0.800,1.000,0.754
2015,0.000,0.200,0.333,0.278
2016,0.000,0.600,0.333,0.525
2017,1.000,0.800,1.000,1.000
2018,1.000,1.000,1.000,1.000
2019,0.000,0.000,0.091,0.091
2020,0.000,0.600,0.500,0.586
2021,0.000,0.600,0.500,0.625
2022,1.000,0.800,1.000,0.853
2023,0.000,0.600,0.500,0.666
2025,0.000,0.600,0.500,0.622
2026,0.000,0.000,0.100,0.100
2027,1.000,0.400,1.000,0.700
2028,1.000,0.400,1.000,0.833
2029,1.000,0.600,1.000,0.709
